Actividad Económica,Producto,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023(p), 2024(p),Enero a Marzo 2025(p)
INDUSTRIA MANUFACTURERA,Estaño Metálico,12750.313999999998,14513.044,15492.621000000001,13152.987000000001,11548.879,12539.755000000003,10508.857,11975.778000000002,12150.877999999999,11128.07011,11955.323959999998,12832.171929999999,14002.182249999998,13579.187000000002,13822.255799999999,12307.031329999998,12736.70406,15421.443779999998,14985.039199999997,14995.088500000003,14400.121899999996,15044.1373,15797.265260000004,15671.540379999999,16779.280390000007,16721.230000000003,15854.771,15240.74601,10285.908010000003,15860.45601,15398.90948,15234.396530000004,17752.585059999998,2973.9758199999997
INDUSTRIA MANUFACTURERA,Maderas y Manufacturas de Madera,99750.82500000004,90411.53800000003,134241.02700000006,96872.63599999991,104949.82699999998,103641.181,71893.31200000009,45187.36999999997,49149.373000000036,41335.54713999999,37882.25794,47443.999889999955,79070.06582000005,96130.85694000003,122465.67761000013,136637.11672999995,137428.67014999993,118951.57523999999,171482.35653999998,125538.60231000007,86740.89360000002,71684.41142000005,60124.56267999997,50935.5205,47121.169949999996,60520.805879999956,72195.13864999994,69597.81673,75401.67252000001,135114.26394,145397.04614,158772.85885999998,181594.87743999998,34708.400890000004
INDUSTRIA MANUFACTURERA,Plata Metálica,155.57999999999996,1050.973,87.19000000000001,81.85799999999999,726.263,73.869,84.83900000000001,75.488,57.218,31.989389999999997,33.7866,27.56308,11.425680000000002,18.140870000000003,24.5048,24.795320000000004,43.68533,33.387900000000016,180.4813,259.99980999999997,210.61182,212.57351999999997,210.80355,197.94952,199.3923,151.72641,160.42224000000002,183.24047,176.36165999999997,184.14064000000002,165.11355999999998,156.41540999999998,141.43311,32.42164
INDUSTRIA MANUFACTURERA,Desechos y Amalgamas de Metal Precioso,,,,,,,,,,,,0.5785999999999999,1.17197,1.70837,1.78973,0.30820000000000003,0.45619999999999994,0.8916400000000001,2.89487,4.989050000000001,27.328120000000002,123.34114999999998,,,,,0.00817,,,0.0,,0.01,,
INDUSTRIA MANUFACTURERA,Joyería de Oro,0.6660000000000001,4.33,11.664000000000001,9.708,5.382999999999999,3.081,0.8470000000000001,2.9719999999999995,6.0809999999999995,5.40335,6.94513,5.999080000000001,5.952459999999999,6.16149,5.028859999999999,4.54758,1.55074,0.14973,0.9167699999999999,0.8996,0.9209799999999999,2.53444,1.5460900000000002,2.9467499999999998,3.40837,2.71459,3.5187800000000005,4.2288,3.26359,4.945119999999999,2.08636,0.24197000000000002,2.7633900000000002,0.52156
INDUSTRIA MANUFACTURERA,Productos Derivados de Girasol,860.0,2159.955,1954.4069999999997,5892.1410000000005,13592.166,30985.798000000003,32373.440000000002,69922.421,64667.836,97019.94939999998,64854.05363,36094.1276,56294.721000000005,63160.549080000004,115622.89400000001,148737.29750000002,189873.64599999998,242058.35700000005,200201.22996,101611.90916000002,132824.52472,162579.77271000002,135082.52291000003,78160.77399999999,80138.28899999998,89566.48207,100260.157,115895.67340999999,176469.96834000005,178548.79627000002,160388.39531,218560.38507000002,203517.18084999998,47422.12365
INDUSTRIA MANUFACTURERA,Productos de la Refinación del Petróleo,16945.165,8799.734,22577.585,40283.273,28592.042999999998,31650.238999999998,32137.094,36538.49100000001,38526.735,29018.939000000002,34627.914110000005,53163.424399999996,92201.96931999999,83392.61241999999,83115.37748000001,76310.28984999996,75549.85703000001,31255.20975,30268.889220000005,29094.792440000005,28814.05664999999,41184.27594,41313.03512,41502.31821000001,43273.08688999999,44408.70721999999,42054.841280000015,38476.56921,12012.801989999996,17829.72678,27750.323650000002,34251.261549999996,36683.12300000001,7565.64276
INDUSTRIA MANUFACTURERA,Productos Textiles,1979.157,3588.338999999999,4465.062999999999,700.7710000000002,1217.5959999999995,1954.4889999999998,5054.1430000000055,6719.880000000002,7352.418000000002,6126.154710000001,2639.2748799999963,4474.053689999999,6088.931760000016,6842.278640000009,7563.641510000003,7703.31660999999,8452.30014000001,4870.768450000004,3514.137949999993,2616.068399999999,3020.53809,2585.6861800000024,2677.9314000000013,2168.0670900000005,1140.9634300000007,1722.2463500000024,2212.933919999999,3485.334240000001,2559.2845500000008,3340.9834299999998,2883.8318799999997,1757.9253399999996,3832.342899999999,982.1106599999999
INDUSTRIA MANUFACTURERA,Joyería con Oro Importado,4.305,4.319000000000001,1.8480000000000003,1.3559999999999999,6.058,7.532,7.265000000000001,5.811,2.372,1.9780000000000002,2.70343,2.44009,2.2370799999999997,1.7858500000000002,2.15907,1.28226,2.4202800000000004,3.339689999999999,1.2119600000000001,0.72661,1.1640100000000002,1.6441000000000001,1.9284200000000002,1.9445099999999997,1.94439,2.07284,0.13930999999999996,0.01474,0.011970000000000001,0.017439999999999997,0.01314,0.011770000000000001,0.005489999999999999,0.0020099999999999996
INDUSTRIA MANUFACTURERA,Cueros y Manufacturas de Cuero,4909.016000000003,5365.322999999999,3489.201000000002,3180.8079999999977,2651.293999999999,4827.562000000002,3518.719999999999,5401.412999999996,7555.71400000001,7386.359330000015,8762.900139999983,9626.31577,10711.435450000012,9845.776930000009,12754.35741999998,11296.169020000003,8907.653599999996,7649.273209999997,14043.257640000002,14402.169880000001,13699.675720000007,17287.818109999975,18812.354020000013,16227.483179999988,16805.741419999966,17747.295889999987,13813.868969999998,10957.122699999982,8520.41995,21050.163090000002,17399.23954,20375.525019999997,22903.13238,5190.5104200000005
